Word,Count
/,205
the,171
to,76
</summary>,57
<summary>,57
file,50
for,49
{,48
},47
is,46
this,45
=,43
a,40
and,39
from,37
TODO,35
if,35
code,33
assembly,31
by,31
This,31
of,29
or,28
be,28
will,27
in,26
new,25
resource,24
following,24
The,23
public,22
when,20
about,19
class,18
has,18
var,18
[assembly:,17
your,17
not,17
attributes,17
created,16
information,16
method,16
test,16
value:,16
aapt,16
Called,16
values,16
Version,15
void,15
an,15
sets,15
automatically,15
generated,15
Gets,15
with,14
used,14
update,12
designer,12
use,12
signing,12
A,12
specify,12
been,12
all,12
------------------------------------------------------------------------------,12
Studio,11
Change,11
return,11
store,11
Information,11
\otherwise,\,11
can,11
resources,11
Build,10
project,10
Revision,10
modify,10
may,10
lost,10
-,10
Required,10
changes,9
you,9
<value>The,9
WARNING,9
it,9
outlets,9
actions,9
was,9
as,9
any,9
application,9
Manual,9
Xamarin,9
directly,8
XIB,8
initialization,8
Mono,8
Shared,8
should,8
using,8
value,8
do,8
tool,8
unmanaged,8
Socket,8
set,8
up,8
sync,8
attribute,7
UI,7
If,7
defined,6
more,6
<c>false</c>.</value>,6
/>,6
format,6
form,6
incorrect,6
desired,6
whether,6
<see,6
specific,6
behavior,6
\"\{Major}.{Minor}.*"\\,6
version,6
are,6
typed,6
them,6
cause,6
\cref="\PiggySync.GtkGui.IMainView"\\,6
Changes,6
\"\{Major}.{Minor}.{Build}.{Revision}"\\,6
revision,6
AssemblyDelaySign(false)],6
\assembly,\,6
just,6
key,6
\"\Test"\);\,6
bool,6
being,6
See,6
\revision,\,6
Runtime,6
build,6
documentation,6
indicating,6
strongly,6
\"\{Major}.{Minor}.{Build}.*"\\,6
regenerated,6
response,6
<value><c>true</c>,6
();,6
storyboard,5
'*',5
four,5
Minor,5
Major,5
default,5
intended,5
Number,5
below:,5
\name="\disposing"\>true\,5
<param,5
\AssemblyVersion("\1.0.*"\)]\,5
disposed;,5
false.</param>,5
values:,5
Tests,5
General,5
managed,5
Clean,5
associated,5
support,5
Unit,5
shown,5
type,5
declared,5
contain,5
through,5
variable,5
consists,5
Numbers,5
host,5
maintained,5
files,5
these,5
editor,5
You,5
contents,5
Designer,5
controlled,5
foreach,5
that,4
accessor,4
[Test],4
<auto-generated>,4
auto,4
load,4
Call,4
ComVisible,4
IIPAddress,4
deleted,4
</auto-generated>,4
etc,4
packet,4
(var,4
they,4
cached,4
\(AddressFamily.InterNetwork,\,4
COM,4
XIB/NIB,4
name,4
Send,4
\removed,\,4
try,4
socket;,4
error,4
catch,4
Version:4.0.30319.34003,4
root,4
window,4
TcpServer,4
handle,4
ResGen,4
correctly,4
text,4
bytes,4
made,4
handled,4
localized,3
on,3
add,3
==,3
main,3
socket.Bind,3
delete,3
packets,3
\clientAuth,\,3
IPEndPoint,3
called,3
\length,\,3
setup,3
point,3
well,3
buffSize,3
false,3
state,3
must,3
path,3
Receive,3
\data,\,3
entry,3
autogenerated,3
hostIP,3
files.</value>,3
(),3
e),3
Constructor,3
socket,3
folder,3
added,3
view,3
after,2
edit,2
strongly-typed,2
Visual,2
encryption,2
ProtocolType.Tcp);,2
typelib,2
Sets,2
LocalIPAddress();,2
Interface,2
\SocketType.Dgram,\,2
\class,\,2
Version:,2
aren't,2
</autogenerated>,2
thread's,2
byte[4];,2
<autogenerated>,2
computer,2
Read,2
looking,2
Dispose,2
have,2
0x7f020000,2
i,2
:(,2
sync;,2
components,2
Perform,2
hostAddr);,2
property,2
connected,2
UTF8,2
representation,2
socket.Close,2
Create,2
loading,2
ip,2
batch,2
Release,2
path.</value>,2
superview,2
tcp,2
=>,2
(int,2
Buffer,2
(Exception),2
lookups,2
\protocols,\,2
remove,2
\member,\,2
\AssemblyKeyFile("\"\)]\,2
saveButton,2
maybe,2
Thread.Sleep,2
this.socket,2
byte[buffSize];,2
(100);,2
Local,2
run,2
StronglyTypedResourceBuilder,2
like,2
invoked,2
\images,\,2
\serverCert,\,2
[ExpectedException(typeof,2
Overrides,2
int,2
\COM,\,2
rebuild,2
banned,2
To,2
iPEndPoint),2
exposed,2
Releases,2
GUID,2
SslProtocols,2
check,2
(byte),2
background,2
CurrentUICulture,2
rerun,2
NetworkStream,2
String,2
access,2
tcp;,2
true,2
need,2
FilePacketCreatorTest,2
UdpSocket,2
nie,2
&&,2
instance,2
SyncNotyfyTest,2
seq,2
then,2
buffer,2
.ResX,2
computer.</value>,2
additional,2
jak,2
doesn't,2
ProtocolType.Udp);,2
m,2
tested,2
\(msg,\,2
TcpSocket,2
<value>Conntected,2
TcpServer.response,2
methods,2
serverAuth);,2
(FormatException))],2
(iPEndPoint);,2
<,2
ResourceManager,2
Those,2
false;,2
\strings,\,2
\option,\,2
ID,2
\(0,\,2
write,2
4.0.30319.17020,2
types,2
FileWatcherTest,2
list,2
typically,2
\PiggyRemoteHost(IPAddress.Parse("\192.258.1.2"\),\,2
hosts.</value>,2
PiggyConnectTest,2
current,2
Setting,2
socket.SendTo,2
hosts,2
(Exception,2
active,2
via,2
ogarniam,2
nib,2
/str,2
first,2
CRC32Test,2
\SocketType.Stream,\,2
wyzej,2
makes,2
(X509Certificate,2
VS,2
message,2
visible,2
IList,2
encryption;,2
auto-generated,2
e);,2
Returns,2
\view,\,2
GetStream(),1
(socket.Connected),1
CRC32,1
Interface.GetIPProperties().UnicastAddresses;,1
AuthenticateAsServer(X509Certificate,1
Sync,1
save,1
host1,1
||,1
(x);,1
status,1
nodes);,1
UnicastIPAddressInformationCollection,1
Application,1
one,1
layout,1
(socket.Accept,1
INetworkInterface[],1
\SslProtocols.Default,\,1
had,1
!=,1
x));,1
sslStream.AuthenticateAsClient(CertificateManager.ServerCert);,1
DiffForm,1
draw,1
numm,1
settingsButton,1
0x7f050004,1
\Assert.AreEqual(host.Name,\,1
presenter,1
iOS,1
socket.EnableBroadcast;,1
broadcastIPBytes[i],1
2,1
combinedUnique,1
refactor,1
czy,1
socket.Dispose,1
0x7f040001,1
~(maskBytes[i]);,1
0x7f040003,1
0x7f050007,1
ComputeChecksum,1
\"\AppDelegate"\\,1
Set,1
Sprawdzamy,1
2;,1
?,1
WillTerminate,1
\"\main"\\,1
assume,1
source),1
events,1
overflows,1
null);,1
our,1
\sslStream.AuthenticateAsServer(CertificateManager.ServerCert,\,1
\PiggyRemoteHost(IPAddress.Parse("\127.0.0.1"\),\,1
\Assert.AreEqual(host2,\,1
applications,1
INetworkInterface.GetAllNetworkInterfaces();,1
remoteFileTextBox,1
while(!sockets.TryDequeue,1
what,1
tableview,1
unit,1
0x7f050006,1
0x7f030000,1
UnicastIPInfoCol,1
sockets,1
fileObsver,1
MergerForm,1
AuthenticateAsServer,1
ack,1
remoteFileLabel,1
ACK,1
files),1
sometimes,1
*,1
AcceptTcpClient(),1
host.AddressList),1
(byte[],1
removed,1
Mask:,1
serverAuth),1
0x7f050000,1
10000);,1
(maskIP,1
\"\Value"\\,1
localIP,1
TcpSocket(Socket,1
0x7f040000,1
TcpSocketListner(IPEndPoint,1
you've,1
0x7f050002,1
MonoMac.AppKit.NSResponder,1
0;,1
user,1
databasePath);,1
only,1
.Union(xmlDocument2.Descendants());,1
krzyczalo,1
broadcastIPBytes,1
\FileMerger.FileMerger(fileAPath,\,1
\XElement(split[0],\,1
());,1
progressBar1,1
//,1
\application,\,1
0x7f050003,1
w,1
\SocketFlags.None,\,1
(serverCert);,1
i++),1
xmlDocument1.Descendants(),1
recieving,1
host2,1
XDocument.Load(xmlreader1);,1
buffer.SubArray,1
(host);,1
fileAButton,1
hostIP.GetAddressBytes();,1
0x7f050005,1
Byte,1
caled,1
but,1
complementedMaskBytes,1
DAFUCK!!!!!!!!!!!!!!!!!!!!!!!!!,1
Dns.GetHostEntry(Dns.GetHostName());,1
maskBytes,1
tabController.DrawsBackground,1
\false,\,1
TextFilesGrid.;,1
true);,1
Exception,1
(ref,1
m.MergeFiles();,1
(new,1
4;,1
sockets;,1
System.Drawing.Bitmap,1
endPoint,1
GetHostMask(),1
subfolders,1
hostIpHeader,1
else,1
Stop(),1
maskIP.GetAddressBytes();,1
PiggySync.DesktopFileWather;,1
\"\Index"\\,1
null;,1
statusTextBox,1
0x7f050001,1
null),1
\blad,\,1
simple,1
transiton,1
Interfaces,1
((),1
hostAddr),1
null,1
(source,1
different,1
HostsWindowController().ShowWindow(this);,1
check?,1
Interfaces),1
pliku,1
UIApplicationDelegate,1
listening,1
byte[],1
declarations,1
terminate,1
better,1
ckecksum,1
secure,1
size,1
localFileLabel,1
pathTextBox,1
concat,1
PiggyConnect,1
Host,1
\PiggyRemoteHost(IPAddress.Loopback,\,1
EqualsTest(),1
hostNameHeader,1
break;,1
instead,1
socket.Listen,1
newer,1
release,1
SQLiteConnection(,1
throw,1
time.</value>,1
\System.Security.Authentication.SslProtocols.Default,\,1
TypeResolver.IDns;,1
kolejne,1
socket.EnableBroadcast,1
TypeResolver.IpHelper.Create(broadcastIPBytes);,1
DidReciveSyncRequest,1
MainPresenter(this);,1
SocketException,1
ref,1
port));,1
TypeResolver.IpHelper.Any),1
two,1
FileWatcher.Initialize(main);,1
0x7f050008,1
listView1,1
class-level,1
//cos,1
bez,1
xmlDocument2,1
openFileDialog1,1
\fileBPath,\,1
Me,1
IP:,1
cancelButton,1
fileBButton,1
useTcp,1
TcpSocket(IPEndPoint,1
private,1
\name.Replace(split[0],string.Empty),\,1
local,1
\PiggyRemoteHost(IPAddress.Parse("\q.1.1.1"\),\,1
happens,1
socket.ReceiveFrom,1
DidReciveSyncNotyfy,1
AuthenticateAsClient(X509Certificate,1
(socket);,1
AuthenticateAsClient,1
\(buffer,\,1
recLen,1
|,1
\PiggyRemoteHost(IPAddress.Any,\,1
true;,1
label1,1
\gniazdo,\,1
recLen);,1
występuą,1
optionally,1
supports,1
ConcurrentQueue<Socket>,1
endPoint);,1
element.Dispose,1
complementedMaskBytes[i],1
Close(),1
shared,1
(and,1
256;,1
status.</value>,1
richTextBox1,1
overflowed,1
xmlDocument1,1
struct,1
allready,1
x;,1
CreateNewConnection,1
Static,1
responsible,1
s,1
5,1
makie,1
\(sender,\,1
ObjectCreationWithBadData(),1
\Debug.WriteLine("\Get\,1
EndPoint);,1
ObjectCreationWithBadData2(),1
inactive,1
NewFileButton.Activated,1
element,1
mergeButton,1
0,1
localFileTextBox,1
\columns,\,1
UnicatIPInfo.IPv4Mask;,1
(hostBytes[i],1
lllll,1
CONFLICT,1
host1);,1
Save,1
shouldn't,1
serverCert),1
host),1
exection,1
UnicastIPInfoCol),1
table,1
etc..,1
HostsViewForm,1
\(serverCert,\,1
readonly,1
EnableBroadcast,1
OpenGL,1
socket),1
(IIPAddress,1
useEncryption,1
notyfy,1
move,1
MainForm,1
chekSumGenerator,1
lastSyncHeader,1
na,1
hostsButton,1
HACK,1
value;,1
//SslStream.AuthenticateAsClient,1
+=,1
resultFileTextBox,1
wywalalo,1
tego,1
dwa,1
static,1
want,1
Should,1
ConcurrentQueue<Socket>();,1
Connect(IPEndPoint,1
resultPath);,1
(out,1
hosts.Remove(x);,1
\Debug.WriteLine("\Create\,1
easier,1
here,1
(buffer.Length,1
});,1
subclass,1
quits,1
port),1
duplicated,1
run;,1
complementedMaskBytes[i]);,1
Files.ElementAtOrDefault,1
SyncInfoPacket,1
autoSyncCheck,1
while(run);,1
(row).Pattern.ToString,1
\msg,\,1
\IPAddress.Parse("\255.255.255.0"\);\,1
ObjectCreationWithGoodData(),1
CreatePacket,1
pause,1
GetHostMask();,1
x,1
0x7f040002,1
modyfied,1
describe,1
(EnableBroadcast),1
Start(),1
\{0}"\,\,1
sockets.Enqueue,1
hostIP.ToString()),1
get,1
CRC32();//TODO,1
IB,1
ip;,1
Validator.va;,1
time,1
XDocument.Load(xmlreader2);,1
RefreshMonitoredDirectory,1
\SocketFlags.Broadcast,\,1
disk,1
SyncNotyfy,1
serverCert);,1
User,1
udpdates,1
hostBytes,1
Dns,1
needed,1
custom,1
(ip.AddressFamilyIsInterNetwork,1
part,1
zera,1
Delegate,1
Firt,1
(UnicatIPInfo.Address.ToString(),1
\{0]"\,\,1
SettingsForm,1
launching,1
SslStream.AuthenticateAsServer,1
combinedUnique.ToString();,1
responding),1
sockets),1
Looks,1
ctor,1
UnicatIPInfo,1
number,1
updated,1
socket.Connect,1
(5);,1
maskIP,1
while,1
Task.Factory.StartNew,1
